,mTead_p63_down_genes,mTead_p63_up_genes,mYapTaz_KO_down_genes,mYapTaz_KO_up_genes,mYapTaz_Wang_genes
250,,Top2a,Fggy,Trav9-2,
251,,Ppp1r15a,Zc3hav1l,H2-Aa,
252,,Vsnl1,Arap2,LOC100861725,
253,,Speg,Eda2r,Trpm4,
254,,Dlg1,Tns4,Atp10a,
255,,Hbegf,B4galt6,Aldh1a7,
256,,Zfp704,Mira,Figf,
257,,Ttll11,Krt17,Dusp4,
258,,Ccnd2,Fmnl2,Mir3109,
259,,,Arhgef6,Fam198a,
260,,Tpm1,Lgals9,2900005J15Rik,
261,,Pkmyt1,Fgfbp1,Riiad1,
262,,Mtcl1,Gm5148,Igdcc4,
263,,Acp7,Plk2,F830016B08Rik,
264,,Slco4a1,Myh10,Gm5797,
265,,,Dbn1,Hk2,
266,,,Pglyrp3,Tmem200b,
267,,,Crabp2,Ptpru,
268,,,Adamts5,Ppif,
269,,,Acer3,Creb3l4,
270,,,Atg9b,Plxnd1,
271,,,Ska2,Gpd1,
272,,,Kcnj15,Cd74,
273,,,2020-09-05 00:00:00,Man1a,
274,,,Ak1,BC030870,
275,,,5430435G22Rik,2510009E07Rik,
276,,,Rab32,Tnf,
277,,,Wnt7b,As3mt,
278,,,A430105I19Rik,Traf5,
279,,,Tnc,Atp8a1,
280,,,LOC100861925,Gm19912,
281,,,Cstad,Mir5103,
282,,,Plod2,Ttc36,
283,,,Wwc2,Cfb,
284,,,Fbln1,Mirlet7e,
285,,,Snai2,Chn2,
286,,,Jag2,Kif5c,
287,,,Samd4,Gm20199,
288,,,Phyhd1,Muc4,
289,,,Gm6468,Plch1,
290,,,Acer2,Unc5cl,
291,,,Arhgap44,Ces1h,
292,,,Gm16197,Ddx26b,
293,,,Dach1,Mir103-2,
294,,,Copz2,Rhox4g,
295,,,Ulbp1,Slfn8,
296,,,Myl6b,Tgm5,
297,,,Fut1,Tgoln1,
298,,,LOC100861809,Cacna1h,
299,,,Cdk6,Rhbg,
300,,,Mpv17l,Gm19463,
301,,,Dctd,Spats2l,
302,,,Tm4sf1,Galnt12,
303,,,Slco3a1,Ces1d,
304,,,Fscn1,Basp1,
305,,,Ch25h,Rpgrip1,
306,,,Clca2,S100a13,
307,,,Slc6a14,Ica1,
308,,,Gm1614,Rab17,
309,,,Chst12,Ttc6,
310,,,Dtl,Gm20235,
311,,,Epb4.1l2,Gm19551,
312,,,Gars,Mgst2,
313,,,Tinagl1,Fam57a,
314,,,Dusp14,Sgk1,
315,,,Bmp4,Rbm24,
316,,,Slc16a2,LOC100642166,
317,,,Angpt1,E330009J07Rik,
318,,,Hspb1,Arl4a,
319,,,Fam198b,Chsy3,
320,,,Fam171a2,Gale,
321,,,Sema6a,Gm17491,
322,,,Msrb3,1700019D03Rik,
323,,,8430408G22Rik,Bspry,
324,,,Cars,Tspan13,
325,,,Agrn,Ppp1r1b,
326,,,Hoxa7,Pde8a,
327,,,Nox4,Rbm38,
328,,,Gramd2,A730028G07Rik,
329,,,Prrg3,Capn13,
330,,,Glis3,Gusb,
331,,,Pon1,4931406H21Rik,
332,,,Cbln3,Cdhr4,
333,,,Gucy1a2,Gm15128,
334,,,C4bp,Calcb,
335,,,2610203C20Rik,Clca3,
336,,,2200002D01Rik,Ly6g6e,
337,,,Gtse1,Galnt7,
338,,,Shisa4,Rps13,
339,,,Ugt1a7c,Pla2g4b,
340,,,Flt4,Tecpr1,
341,,,Pdlim4,Irf8,
342,,,Dnm1,Magee2,
343,,,Mboat2,Zswim5,
344,,,Krt5,AW046200,
345,,,Acss3,Pion,
346,,,P2rx2,Sec11c,
347,,,Slc16a4,Mcoln2,
348,,,Morc4,Slc44a4,
349,,,Fam101b,Casz1,
350,,,Kif27,Cdc25b,
351,,,Fbln2,Car5b,
352,,,Fads1,Tcp11,
353,,,Il1r1,Fos,
354,,,Hspg2,Rassf6,
355,,,P2ry6,Rasef,
356,,,Fads2,Btg4,
357,,,Ehd3,Gpr20,
358,,,Vwa5a,Dgat2,
359,,,Pkhd1,Gm3298,
360,,,Glipr1,Pigr,
361,,,Cpe,LOC100862057,
362,,,Serpinb9,Diras2,
363,,,Fgf11,LOC100862094,
364,,,Slc24a3,LOC100861722,
365,,,Dcbld2,Gm20554,
366,,,Clstn2,Sytl5,
367,,,Mtbp,Cap2,
368,,,Fermt2,C330005M16Rik,
369,,,Mpped2,Slc16a11,
370,,,Cnn1,Myo5c,
371,,,Mei4,Raph1,
