SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
ZNF491,STXBP6,KIF26A,TMEM87A,COL4A2
ZFP37,PCSK1,TNFAIP8L3,AHNAK,IL15RA
ZNF462,C2CD4B,WNT4,43892,ANXA4
AS3MT,RPH3AL,TP53I11,PAK6,PDE4A
ZNF714,FUT3,SLN,IL4R,AHNAK2
CBX2,KCTD12,CORO2B,RENBP,IKBIP
FAM13B,CR1L,RTN1,KAZN,MKX
MAP2,TSHZ2,ELAVL2,KAT2B,MMP17
GADD45G,CER1,CNNM1,EPHX4,RNF207
ASXL3,HEY1,ROR1,NBEAL2,ATXN1
MVB12B,INHBB,CPLX2,GRTP1,TEAD4
AHSG,MYCBP,PTPRU,RAB38,TRIP10
C2CD4C,SNCG,CCDC177,HOXC5,CERCAM
HIST1H1B,SMIM22,ASIC4,SLC25A43,POLD4
TUBA1A,HEPACAM2,TSPAN9,TMCO4,EVA1B
SLC4A8,CCDC178,SOX7,NPAS2,SLC12A4
PIANP,RARRES3,CLMP,NOTCH3,ACOT9
TMCC2,SLC38A11,NRG3,IL12A,ELK3
SYNM,PLS1,FAM83G,CELF2,VCL
SBK1,EPS8L2,RBM24,SUCNR1,PLEC
ZNF85,BAIAP3,DDN,ANK3,PLD1
TCF12,CNKSR1,MPV17L,ZNF69,LRRC8E
BEND5,PDLIM3,CXCL12,HMX3,PDGFA
GCNT2,BACE2,IGSF21,KLF4,HOXC8
RCBTB2,SDC4,CDHR3,FAM117A,NOG
ENHO,FBXO32,BARHL1,EVPL,PLCD3
ZNF821,PDE11A,BRINP1,TNFRSF25,PROSER2
DCLK2,IL20RA,ZNF385C,PSTPIP2,ZNF185
TSPYL4,BMP8B,LAYN,FAT1,ADAM9
NKX6-1,TMEM150C,THBS3,LZTS1,SERTAD1
CRYBB1,SLC36A4,NRN1,FBLIM1,DRAM1
ANKRD53,ENTPD2,DAND5,TNFRSF21,CRTAP
KIF5A,B3GALT5,CHRNA3,ITPR2,SCARA3
PLEKHG5,DNALI1,GPSM1,MLKL,SPATA20
MORN3,GIPC2,PRIMA1,FGFR3,PROCR
PDE9A,PLEKHH2,PRRT4,NBPF14,LMNA
PKIA,FAAH2,CHRNA4,RNASET2,TCF7L1
TIAM1,PLEKHA6,EPDR1,CNIH3,FGF2
AMOTL1,EPHA7,NFAM1,SH2D6,ASAP3
DPYSL5,COLEC11,KSR1,TC2N,RILPL2
ADAMTS16,GNA14,KIF12,RASD2,ADAMTS10
44077,CASP8,GPM6B,NDUFA4L2,GLIS3
GKAP1,PCDH20,PDE4A,CD9,BCL9L
CMPK2,FRAS1,HOXC5,FHDC1,VMP1
HIST1H1E,KCNK13,CDH11,TEAD4,TCF7L2
HIST1H4H,RPRM,SHANK1,STON1,ICAM5
MESP1,BAMBI,NRG2,RGMA,PLXDC2
APOM,PRR18,THSD7A,SAMD12,IL27RA
CCDC171,DNAH5,NTNG2,PLIN3,44084
CCDC15,KCNH6,PLIN2,LANCL3,AKAP7
MBP,FAM174A,WASF3,TNFSF9,FLNC
INSM1,MACF1,OPRK1,CPB1,MYL12A
AMER3,FAM13A,SCRT1,RAB34,CLIP4
FAM189A2,ACTL10,HLF,HLA-DMA,ANG
ZNF568,S100A14,HOXC4,HOXC12,FBN1
CETN2,MOV10L1,ZNF114,IFT172,METRNL
MYOM2,MYLIP,HPDL,HOXA3,IFIT1
ZNF124,CDH26,ANK3,SYNE4,PLA2G16
ZBTB8A,AK9,RIN1,TRIB1,FUOM
SLC1A4,CXXC4,C1QL4,STEAP2,GSTM4
ZNF254,GCNT3,GPR162,TAS1R3,RILP
ZDBF2,SAMD9,BICD1,GCNT2,CELSR1
CRISPLD2,KLRC4,TMEM63C,EPHA2,QKI
RETNLB,PLLP,BDKRB2,DDX58,IFI44
TERF2IP,PRUNE2,TSC22D3,PBXIP1,ARPC1B
ACBD7,PRR15,SLC6A3,MYO1B,CPNE7
ZNF582,USP41,ABCD2,GPRIN2,SLC25A43
SIT1,ADAMTSL2,NXPH3,PLA2G7,KCTD11
FADS1,PTPN6,CAP2,SLC29A1,HOXA1
EPHX1,DYDC2,CD248,KLHDC7A,DECR1
PIK3R3,PTH2R,GJD2,RIPK2,LTBP2
ANKEF1,EPB41L4A,HEY2,PELI2,S1PR5
CADM4,RSPH1,ADAMTS8,TNFRSF10A,ELL2
CABLES2,ANKUB1,LSAMP,LRRC8E,FAM114A1
STAG1,GRAP2,BCL11B,SPHK1,FEZ2
44079,DDO,GAB3,LAMA5,GLI1
FLT3LG,AKAP2,RAB33A,AEBP1,RAB3IL1
RND1,CTSO,SCN4B,SPINK5,S1PR3
WDR66,MPZL2,SYNGR1,ACY1,TRPM4
KLF7,PPL,RAB3A,NR3C2,SDSL
ARID4B,NPAS3,STAC2,ALDH3B2,EFEMP1
ZNF66,RASEF,PPP4R4,LIMD1,UACA
FAM89B,SGSM1,PLD6,PAQR5,HEXB
PLXNA3,HTATIP2,REC8,TAP2,PLOD1
ZNF362,LRRIQ4,IGFBPL1,OBSCN,PDLIM4
ZNF583,SH3BP4,DIAPH2,GANC,ZCCHC24
CCDC34,LIMCH1,PHLDA3,ADA,FAH
TEKT2,ILDR1,NOS1,GLUL,ATF7IP2
MIDN,44075,GPR85,PLEKHG5,HSPB1
CEP78,CLDN3,FAM131C,SLC39A8,EID3
FAM122C,IKBKE,STX1B,CGREF1,NPAS2
TFDP1,BMP8A,GABRG2,DAB1,PARVB
CACNB3,NHS,RASGRP2,EEF2K,LDLRAP1
SH3BGRL2,KCND3,CGREF1,RNF207,PRRX2
BTG3,STX19,GPR155,GUCY1A2,ETV5
SPATA33,ACSS1,PDIA2,FSBP,RBMS1
KIFAP3,MGST2,TRPS1,LONRF3,TMEM144
DBNDD1,APOL1,UNC5A,NAALAD2,RBMS3
ONECUT2,SLC37A1,IGDCC3,CERS6,SMAD6
CXADR,PRRG2,LINGO1,HOXC8,PARP3
HIST1H4K,ZBTB16,NTN3,GATA6,CYP1B1
ZNF92,DACT2,PNPLA3,LRRK1,TMEM45A
OVOL2,FOS,VWCE,CDS1,SFXN3
DCTN3,SYT1,GLI2,CNKSR1,ADAMTSL4
SOX14,OPRD1,PRODH,GPR160,ADAMTSL5
IFT27,CGNL1,SH3KBP1,CARD10,PLS3
PLAUR,SALL1,DUSP9,DOCK6,CDK6
AKAP5,ENTPD8,ARPP21,FASN,C3
FAM131A,FAM84B,CDKAL1,CMTM6,FAM20C
TEX9,JSRP1,ANKRD13B,REEP5,SLC35D2
TTC9,TBC1D8,LRRC4,SNAP23,C1S
MAPKAPK2,S100A13,PLCD3,VDR,SAMD11
ZNF620,HOXD8,ARC,KIF13A,F3
ZNF184,NKX2-1,CISH,SNX9,PRKCQ
RMI1,SYK,GRIK4,ITGB4,CTSB
MICU3,ARHGAP25,STON2,MBOAT1,OSGIN1
RUFY2,ZMPSTE24,FAM57B,MYBBP1A,NKX2-5
SP4,NINJ2,GAS2L1,COL14A1,SLC47A1
DNAJB5,FXYD2,SLC1A1,ELMO3,ANTXR1
N4BP3,IL17RE,TEAD4,FAHD2B,PCSK6
ZNF528,DLL1,BCL11A,HTR3E,TPBG
RNFT2,HOXB13,GPD1L,PCSK9,IL32
FAXC,DNAJC10,NEUROG2,SOAT1,CLCF1
AKT3,LGALS9,PAQR9,SLC22A15,CTSA
SPHK2,SAMD13,PRICKLE1,TMEM74B,MAP3K6
SEMA4D,PSMB8,TBKBP1,LMCD1,SH3KBP1
TMEM132C,PERP,BCAR1,CYP39A1,PDLIM2
FAM167B,DNAH3,MYO16,TMEM54,RHBDF2
ZNF711,LGSN,LRFN1,DPAGT1,NTN1
BMI1,CHMP4C,BATF3,ESYT3,CD68
SLC35E2B,GPRC5C,ASPHD1,ARRB1,ARID5B
PHF2,SOWAHB,WNT5B,GJB2,PCOLCE
ZNF48,MGAT4A,MAP7D3,TLCD2,EOGT
BRD3,FAM110C,ADARB1,CEACAM19,COL5A2
C2ORF15,ADARB2,CABP1,SPRY1,SNX33
IRX5,PNPLA7,COL5A1,EPS8L2,SPEF2
ZNF443,HS3ST6,EFNB2,FBXO2,CAP2
MPZ,TMEM51,LY6E,NXPH4,NQO2
NAB1,TRIM68,PTPN21,SYCP2,LAMC1
DLL3,IRS2,SH2D5,PLEKHG6,TAP2
RABIF,KRT18,FLRT1,FURIN,FZD7
FAM71E1,XYLT1,SLC18A3,ARHGAP27,RHOD
PIK3R1,CCSER2,MYT1L,LASP1,PARP14
ARNT2,EGLN3,TP73,RHBDF2,SHC1
ZFP30,SLC5A1,AHNAK2,RHOD,FOSL1
MEGF9,LRFN2,GPR153,SASH1,TFPI2
FAM102B,CSRP1,MEIS3,RGPD1,ITPRIPL2
PRIMPOL,ST18,PLTP,MOB1B,MYLK
DYRK1A,SH3BP5,ANXA6,SLC4A2,TGIF1
ZFAT,OCLN,MTA1,FAM124A,ITGAV
MARCKS,RBM38,NTRK3,TNK1,TAX1BP3
ZNF107,TMEM158,FSCN1,SEMA4A,DDAH2
TMEM107,LRP4,NME4,SYT12,AGTRAP
ODF2L,GFI1,DPF1,HSPA4L,A4GALT
CPT1C,GPR160,AANAT,ADORA2B,METRN
ASF1B,LMO7,NOB1,MYO5C,NNMT
KIAA1549,SYTL3,TRIM67,PPFIBP1,LAMA5
NAT14,TGFA,COL27A1,TOP1MT,FAT1
