SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
RIC8B,VAMP5,SUPT16H,WDR12,CD37
CPSF7,DNAJB13,CINP,VGLL4,SUGT1
PTS,AUH,FARSA,SLC39A10,PAQR7
SHC4,TMEM41B,DCLK3,SNRPE,GAS1
PSMC3,SNIP1,LARS,MRPS25,VDAC1
PRDM10,CHMP4A,FBL,G6PD,AOX1
MMS22L,XRRA1,WIPF1,CPSF1,LRFN1
KCNA5,DCAF11,SF3A2,TSEN2,TXNRD1
GPR149,CYB561,ABCB7,ZNHIT6,NEK3
LIN7C,RFK,RPL10,CHEK2,SLC38A2
NXF1,IQSEC1,RPL36A,MRPL20,LRFN4
BPNT1,IRAK4,DIRAS1,PBX2,RPUSD3
FEN1,KIF3B,PEPD,KLHL21,PHYH
NMBR,NACC2,GADD45GIP1,NT5DC2,ALS2CL
SUGP2,RLN1,EARS2,LRRC8B,SLC19A1
CCDC81,INPP5J,ASB2,BCS1L,NBPF9
ALS2CR12,GCLM,GPX7,CDC42BPG,LMX1B
USP48,TREM1,FAM171A1,RFX5,IRAK2
CAMK2A,SUN1,FHL3,RPS6KA4,RBPMS
APOBEC3A,ANKRD10,COL8A2,ASCC3,LACTB2
ILF3,FLNB,CD5,GAB2,UNC93B1
DNTTIP1,FAM122A,ZFYVE9,PRR13,ZYG11A
DONSON,SCRIB,PSMG1,TUBD1,BTN3A3
SUMO2,PPP1R26,VTI1B,POLR2A,SYPL1
HNRNPLL,ELF4,RAB11FIP5,GTPBP10,RGPD5
NT5DC4,ARPC5L,SLC44A5,ERLIN2,BTN3A1
MIP,MFSD6,IPO5,EPRS,LIMK1
SCAF4,ELF2,QTRT1,SH3BP2,CYFIP1
CCDC62,HECTD4,POLR1B,DOCK8,TSKU
PDCL2,TWF1,POLR3H,SMUG1,ERGIC1
SULT1E1,IFNGR2,RPL13A,NCOR1,CTDSP1
HCRTR1,LPIN1,RPL28,NCK2,COQ2
FOXD4L1,GNL2,KCNC1,UBE2V1,MPG
TRDN,CLDN12,GATAD2A,SHMT2,NFKB1
GLRA4,KIAA2013,NPM1,TARS,RMDN2
HDC,TGOLN2,AMIGO1,TGDS,PHAX
KLHL34,TMEM245,DOCK7,GBGT1,LYAR
PROP1,TMEM184B,RFX7,ZNF816,GCLM
PTH,XPC,NDUFS7,PPP2R5A,PRRT1
BHLHE23,PPP1R37,DDX49,PIK3CG,RAPGEF3
CCDC168,DMRT3,WDR43,PNN,ABCC1
SP7,FAM111B,FKBP4,CYC1,HMG20B
CXCR5,DYRK2,ST7,NDUFA10,BIRC2
ABCB5,SORBS1,PDXP,FGFR1OP,SLC26A6
SHCBP1L,HMGB3,ZMIZ1,MRPL16,ZNHIT6
CLCA4,ZMYND8,JUND,VDAC1,NOMO1
,ESRRA,FTSJ1,B3GALT6,SEC23A
,CD274,XAB2,ZNF813,IRF1
,FARP2,RNF208,PICALM,NPC2
,NMNAT1,DCLRE1B,ADAM9,MTHFD1L
,ESRP1,ATG4C,NOA1,ANKRD42
,ZDHHC12,GHRHR,DAP3,PIGZ
,CDK5RAP2,RPS4X,ANKRD17,SNX8
,CNPY4,SYNC,CCNC,MRPL35
,DPH2,LEO1,TRIM25,ACACB
,SFXN5,FBXO31,FCHSD1,NOB1
,ACSL1,KBTBD6,FOXO3,NCEH1
,DAZAP2,ATAD3A,TOR1AIP2,NDST1
,GLB1L,OTUB2,HSPA8,CLEC11A
,ALG2,LAMP5,TMEM140,SLC25A23
,PDXDC1,LSS,UVRAG,NUMBL
,FAM83H,RPL31,CDK12,KIF20A
,TFRC,KDELR1,NDUFC1,FAM129A
,TMEM178B,NUP155,GUF1,KDELC2
,RAB5B,MRPL19,ANP32A,MCCC2
,CARS2,IPO4,SNUPN,UTP15
,TPRN,OGFOD1,SRPK1,WBP1L
,CANT1,RABEP1,CAPN1,TWIST2
,PEX10,XPNPEP1,RABEP2,NDUFC1
,SPIN4,KAZN,MYO6,VASP
,PLXNB1,KLF16,FDXACB1,NUDT5
,AGFG2,HYPK,LCOR,SLC36A1
,ABHD17C,CDH15,PLAGL2,RMDN3
,IKZF2,EFTUD2,SLC25A39,SNX3
,TUFT1,XYLB,PAX1,CCNB3
,SLC17A5,DNAJC24,RPL22,RAD18
,MYLK3,MYO5A,PYCR1,DDX41
,VPS13A,IGDCC4,GYS1,SUMF2
,BAIAP2L1,KLC1,E2F3,ALG1
,RAB2A,CLNS1A,PELP1,PARD3
,SMPD2,ZNF286A,EPPK1,CRYZ
,WDSUB1,ELP4,FBXL6,SOX8
,RBM7,RASGEF1C,WDR43,NAGA
,ARAP1,ADD2,CLDN23,CDKL1
,ADCK5,PHB2,U2SURP,CKAP4
,KRT20,MRPS5,OTUD4,NOP16
,ZDHHC5,RHOQ,NMB,UROS
,SLC25A42,ANKS6,PSPC1,NCSTN
,F11R,PRAP1,KPNA5,SMYD5
,VEGFB,MXRA5,CCT3,CASP1
,SSR4,WDR74,CHCHD4,EDEM2
,HK1,GTPBP1,RPL23A,IL11RA
,RANBP3,POLD2,ARHGEF12,ABHD14B
,HECTD3,PES1,SOWAHD,CES4A
,FBXL4,ILVBL,CDC27,MITD1
,ISCU,SSBP4,CLEC4A,CCDC106
,INPP5D,UCK2,MRPS18C,PRDM5
,SLC15A3,FBXO22,LZTR1,DGKQ
,CD63,POMT2,PDZD8,FANCD2
,PDK3,PLK3,CUL4A,TEX264
,EXD3,EIF3CL,PUS7L,IPO4
,CC2D1B,SUSD2,PPRC1,POLE4
,KLF3,CRHR2,SPTLC3,HIBADH
,STX17,ZNF337,ZNF652,RER1
,MED18,CDAN1,PAX2,MATN3
,PRDM15,SH2D6,CDK14,SLC48A1
,GBA,RPS7,GOLPH3L,CYB561A3
,SLC35B2,DNAJC17,TRDMT1,NGLY1
,TMEM86A,KCNK12,ARPC4,RALB
,LRP5,RPL3,ZNRD1,ZSWIM8
,SLC44A1,GIT1,NADSYN1,IL6R
,CNTRL,DNAJC6,TAF4,TTC38
,CHIA,HECTD3,HERC4,SLC10A3
,ERMAP,GARNL3,RPSA,IMPDH1
,FBXL15,RGL1,PEX1,TMEM87B
,IGSF3,GSTZ1,MDH1,PSORS1C1
,CXCL13,SKIDA1,SLC52A3,NACC2
,FOXJ3,PPFIA3,NUS1,UXS1
,CCDC114,SH2B2,EIF4A1,CPNE2
,CLEC16A,PTRH1,ZCCHC4,AP5B1
,ZFYVE19,PEMT,STYX,RBM19
,TM2D1,DEPDC5,ADCY6,PTPN12
,IPP,DMXL2,TMEM135,DRAP1
,HSPB11,OTOGL,PPIG,PPP2R5A
,ZBTB44,FAHD2A,TCFL5,PTCD2
,OXTR,EIF3B,PARD3,PSMC2
,KRTAP5-5,ACBD5,HSPE1,ANKRD33B
,BRK1,CACNA2D4,TFPI,NME3
,ARHGAP1,YBX1,IBA57,MLKL
,KHNYN,RPL5,WDR4,PRDX6
,COX7A2,IMP3,MTA2,VAMP1
,TMPRSS13,TIMM8A,MARS2,MEMO1
,CYP2R1,SARS,PITPNB,PNPLA6
,RALGAPA2,SCAMP5,TXNDC5,ACTR2
,KAT6B,SYT12,GSTCD,ACTB
,ATP6AP2,TARSL2,TOB2,QARS
,MRPS28,PSMC1,COA6,RFX5
,PPP1R14B,WDR47,NOL11,SCARB1
,BROX,PRPSAP2,MDN1,SLC39A14
,PTAR1,NDUFAF1,MAT2A,PRELID2
,DGCR2,KDM1A,SLK,RWDD3
,CCR10,AEN,OXSM,CUL2
,TMEM181,GLP1R,SPATA13,RABAC1
,FSCN2,PPP1R9B,PPP1R9B,PPP1R9B
,NDE1,AKR1B10,RMND5A,IKBKB
,LEFTY1,CDIP1,LCP2,EXOSC7
,WDR31,NADK2,MYEOV,ZNF593
,SEC16A,RPL7A,ACSL3,DNAJC13
,ZDHHC13,RPH3A,CYCS,CHST12
,ACVR1,MPRIP,DNAJC17,CMTM6
,FOXP1,PRDM12,AP2A2,MFSD5
,OXGR1,UQCRC2,ZFAND6,DCBLD2
,ERI2,FARSB,PDSS1,SPSB2
,RHPN1,NOP58,TIAL1,IL11
,FAM177A1,PUSL1,MTX1,ZFP64
,DYNLRB2,SRGAP2,CASZ1,RUFY1
,NFKBIA,NANP,GOLGA4,EIF3A
,INIP,MMP24,UBE2E1,LIMS2
,CENPC,DEF8,ACBD4,MYH9
,PHEX,SNAPC4,PGM2,HDDC2
,FOSB,SLC16A1,KTN1,TNFRSF1B
,NRARP,PIGL,ATIC,RNF215
,MFSD1,SPATC1L,DUS4L,PACS1
,WWP1,GART,NOL9,PFDN4
,CBLN3,FAT4,SLC16A1,JAK3
,TMEM106C,LDB1,MTBP,ANKRD29
,RPTOR,RPUSD2,MRPL21,PPRC1
,VWA3B,DKC1,AQR,XPC
,COX6C,HOXA13,ZC3H11A,DCTN1
,SERPINA1,CHERP,CSE1L,SPON2
,HSBP1,CARM1,JUP,FAM83G
,NIPAL3,CARD9,NELFCD,DZIP1L
,POLR2K,CPLX3,MRM1,ECI2
,ATF6B,ZNF593,GTF3C3,DAG1
,NDUFS5,PMPCA,ALKBH5,KLHDC8B
,FRAT1,DNAH17,SPATA5,ACTR3
,WWC1,RTCB,IBTK,RPL4
,NEK8,TIMM9,ERMARD,PITPNM1
,TMEM217,BID,ZBTB42,YTHDC2
,GNAQ,KIF1B,ISYNA1,USO1
,CRTC1,KLHL15,ZNF296,TMOD3
,ALG6,TAF1B,TMEM168,DHRS4
,AP1G2,RPL18,DDX59,OAT
,LCA5L,GMPR2,RNF149,SNUPN
,SYNGR2,UBA1,LRP6,SYDE2
,OTP,EVL,SDHB,APLF
,ARHGAP5,HCAR2,EIF5B,MFSD10
,SH3GLB1,E2F1,FBXL4,LY6E
,MED27,SCG3,DICER1,PXN
,BAZ2B,DUS2,MRPL1,PRKCE
,FBXO48,ARMCX5,MTO1,SGMS1
,STXBP2,ALDH18A1,NDUFAF1,NBN
,SULT1C2,CALML4,COG2,UEVLD
,GPR107,NMB,SEC23IP,DOLK
,SMIM12,DZIP1L,ZFHX3,EIF5A
,POLR3GL,EIF5,CDV3,FAM114A2
,SAPCD2,ADSL,PPA1,NPIPB4
,PMM2,EIF3J,TOP1,SEC11A
,CSTF2T,PLEKHO2,RPL23,PGM3
,CNST,GEMIN5,HSF2BP,GOLIM4
,MSMO1,UBA52,TMEM216,TES
,RIMS2,MUSTN1,HMGB1,GAS7
,PHLDB1,LRPPRC,MRPS14,SLC30A4
,UEVLD,HSD17B10,THUMPD3,KIF23
,FAM120AOS,DESI1,WT1,PSMD2
,DBNDD2,MRPS31,POTEF,RGS5
,LPGAT1,WDR12,PSMD11,NPIPB5
,TMEM109,MARK3,LRRC59,TMEM214
,ACTR3C,SLIRP,SNX32,ATP6V0E1
,SLC9A1,DAGLA,KAT2A,TMEM43
,TMC8,MRPS22,STRAP,SLMAP
,ZBTB7A,FREM1,TPMT,CDC42EP5
,FPGT,ZNRF3,NUP133,NDUFAF2
,TMED4,DHX33,DDX52,MCFD2
,CREBL2,MRPL40,ZNF697,PKD2
,NCKIPSD,HPRT1,TMED2,DYRK4
,CDC42BPG,CAPN15,FASTKD1,SNAPC1
,PDIK1L,LIMS2,LEO1,EIF3D
,ACSF3,SNRPB2,SCYL1,FAM45A
,ZER1,NAT10,CCDC69,RBM28
,ERLEC1,TOP3A,CRELD1,NT5E
,FBXO33,PAPSS1,MFHAS1,VRK2
,ATXN7L3B,CTNNBL1,DIXDC1,MAN2A2
,RNF141,ST6GALNAC6,PTPMT1,ACVR1
,LAMTOR3,EIF3I,ACACA,CSPG4
,ARFIP2,PIF1,RIOK1,TJP1
,TEX2,TSPAN33,DLAT,TNNC1
,ANAPC16,SUPT6H,CNP,NOMO2
,XIAP,CLN6,PRKAR2A,NFKBID
,FKBP2,HSPD1,EIF2A,GNG5
,AKR1A1,RRM2,ZBTB2,MKNK1
,DYNLT1,SNRPA,EEF1A1,GNAI3
,STAP1,USP3,CTR9,PSMA4
,MFSD9,EIF3G,PDGFRA,EIF3B
,TMX1,MRPL36,ANO10,PLAT
,PDE6A,BEX1,PFDN1,EIF3J
,CBWD6,STAT5B,CCAR1,PRR16
,NEU1,GPATCH4,ECHDC1,ACOT7
,ATRAID,EPN2,MMAA,TOB2
,IQCE,SLC35B4,TPCN2,CCNB1
,TRAPPC9,KNSTRN,SPAG7,DIMT1
,PRKAB1,HRASLS2,HARS2,SCYL1
,SFTPD,RBFOX2,NT5C3B,JAK1
,43896,RPL36,SEC24B,FADD
,RTN4IP1,ADAL,UBTF,PRR13
,PDE3B,XPO6,GATAD2A,NDEL1
,GPR50,COX19,GLIS3,RIMKLB
,MAP10,RPS19,AIMP1,CCT6A
,SIK2,BRS3,NAA25,RAB24
,ITIH4,SETD3,PCBP1,DNAJC2
,TMEM186,AVPI1,LUC7L3,TYMP
,RAP2A,PDK2,STIP1,NEXN
,AKIP1,RPL11,HMBS,MN1
,TBC1D13,RPL22,MAPK6,FASTK
,RNPEPL1,UBE2G2,CEP350,UGGT2
,TRIM44,NGDN,PLEKHB2,FBXW5
,GOLGA2,L2HGDH,PDCD2L,FER
,ORMDL3,ARMCX4,HEATR5B,TYRO3
,BTBD10,COPS3,MRPL23,FAM160B1
,ZDHHC9,RPS10,PTPRE,NXNL2
,CDCA8,MPST,SLMAP,DYNC2H1
,NT5C1B,SIAH2,NSUN7,SMURF1
,ACADM,DCXR,VDAC2,NFS1
,SLC52A2,MAB21L1,SMYD4,CTDSPL
,MIS18BP1,BTBD1,TMEM229A,GLRX2
,BCOR,MAPK8IP3,USP53,SNX17
,TOR1A,PSMF1,TRPM7,CHSY1
,RNF34,GEMIN4,ETNPPL,PRELID1
,HSP90B1,PFDN4,CAPN7,SYNC
,PRICKLE3,SP9,YBX1,MORF4L1
,GANAB,MIPOL1,NFXL1,DNAJC17
,TXNDC12,ATIC,PPP6R3,PLCG2
,KBTBD2,MTFMT,CCT2,TTC1
,CHID1,CHD9,RGS21,USP32
,PCYOX1,WFIKKN2,DDX6,CHST2
,CRISP3,RNF113A,VPS37B,NEO1
,TAS2R14,DBP,CCDC6,FBXO22
,SURF4,RPS29,NDUFA4,IPO11
,IGSF5,CACNB1,MDC1,LZTR1
,PAMR1,LRMP,SPG11,ACTRT3
,HPN,RPS21,MRPL27,KIN
,GHDC,GEMIN2,DNAH14,UBE2Q2
,B3GNT3,NRDE2,TRAF4,CDK7
,FPGS,MAK16,PEX3,RPS18
,HDAC11,AMN,TOR1AIP1,FLNB
,CYB561D1,RTN2,RPL27A,TEP1
,UBXN4,RPL19,RAF1,TMED3
,TRAF1,EIF3D,OSGEPL1,CDC14A
,ROM1,44082,FAM98B,PDCD11
,ARL1,PELP1,FAN1,ADPGK
,ANKRD22,PHB,ZNF649,TYSND1
,SCMH1,MTMR4,U2AF1,EHD4
,SCOC,HGS,DBNDD2,BNIP2
,UGP2,AUNIP,PDXK,EXT2
,TNFRSF10C,ALKBH1,SERBP1,TNIP1
,LDLR,RGS19,TAMM41,FUCA1
,NAIF1,TBC1D25,NME6,SLC39A13
,KNTC1,GTPBP4,GDPGP1,HCFC1R1
,TCEANC2,RUVBL2,ATXN7L3,TNKS1BP1
,KEAP1,PSD2,CUTC,FTSJ3
,PTS,SSH2,ARL8B,STYX
,IPCEF1,RANBP1,ATF6B,TCTN3
,BLOC1S1,RBM28,PABPN1,SAPCD1
,MLC1,GNE,BRINP3,REEP4
,PAFAH2,SIVA1,CARM1,WDR81
,DOCK9,TRIO,GAK,CDC123
,TLR3,RPS9,MRPS10,LARP6
,FRMD8,DROSHA,RAD18,SPG7
,RBBP8NL,RPL23,TMEM170A,CDAN1
,CHRAC1,WDR89,SMTN,RBM17
,TMEM219,DHX29,SETDB1,OTX1
,TRAPPC3,XPO5,STT3A,COL7A1
,NAA40,EEF1G,TNFSF4,CEP55
,UBAC1,CSNK1E,RNF14,UBLCP1
,ACYP2,ANGEL1,CCDC61,RNF181
,SPTLC1,RARA,LATS1,DNAJC1
,BSDC1,ATP13A1,WDR74,FCHO2
,ADHFE1,CASK,NUMB,SAR1B
,ATP6V1G1,GID4,IRS4,IDE
,TBK1,CSNK2A1,IPMK,FOSB
,B4GALT2,ZNF622,PRRC1,ADH5
,UFL1,MRPL12,UGP2,TPRG1
,UBD,PRR3,OMG,PLRG1
,SWI5,GSPT1,SNX2,MEF2D
,ESYT2,POLG2,NCOA4,PAOX
,GCSAM,AHCY,PABPC1,PSMD12
,MMAB,TMEM11,SSSCA1,ANKRD34A
,PARS2,GOLGA8H,CCDC58,LAP3
,DOCK8,CARD11,THUMPD2,DDOST
,PRSS36,ABCC9,ALDH3A1,MRPS5
,SLC11A2,BYSL,SOD1,NIT2
,BRMS1L,EIF4A1,CSTF1,TMC7
,TOE1,METTL8,DAGLB,NGEF
,FAM81B,RPL38,SLTM,MMS19
,ITGB7,RPAP1,DNAJC7,TPCN2
,HS3ST2,ZNF333,PPP4R2,MFAP3L
,RNF148,PRR11,BUB1B,GIT2
,ZNF672,HPS4,ADCK5,YARS2
,DPY19L4,RUVBL1,NUP43,TTC27
,SPCS3,ANAPC1,RNF115,SPOCD1
,MVK,TG,UBA6,GALK1
,LAMP2,MED12,44076,ECH1
,TDRD12,FBXO44,EIF5,SLC7A7
,SVOPL,LRFN4,NUDT19,ANO6
,PLEKHA7,TNRC6C,CHMP2B,PHYKPL
,PLA2G4D,DNAJC18,SSR1,FGD6
,EI24,SF3A1,GGA2,TRIP4
,UNKL,AATF,SUOX,NUCB1
,PIGU,TMEM132A,NUP54,MAN2C1
,GRAP,AGAP3,THRAP3,ADAM15
,LRP11,RPL23A,MED1,SH3RF2
,MAGEB17,ARMC6,ZRSR2,SLC41A1
,KIAA0391,CCT8,PEX12,TMC6
,RSPH3,CLPP,ALG8,GCSH
,MAST2,RAD52,ATAD2B,ARL4A
,RUNDC1,ASPHD2,CCT8,ICAM1
,ATPAF1,CCDC106,DENND2C,PHC3
,EAPP,MRPL2,D2HGDH,MGAT2
,RAB14,FGFBP3,GLOD4,SLC35F6
,TRMT2B,SLC25A37,CARD14,POFUT2
,H2AFV,OSGEP,PSMD13,MRPL24
,LRP2,LGI3,SENP6,TCF25
,TMA7,UBE2O,TAF15,PARP4
,TBC1D3C,ZNRD1,BECN1,ACP2
,SWSAP1,ACD,RBM8A,TTC31
,CAPN13,PKMYT1,CYBB,EXOSC1
,ZNF3,MRPL39,RICTOR,UBR4
,IGFL2,SPAG7,ASCC1,RNFT1
,PTGER1,PIN1,UCHL5,ARSA
,PRMT3,FASTKD3,CTAGE15,COQ10B
,GLE1,DCT,GBF1,HEXA
,GPAA1,EEFSEC,NBPF11,KCTD15
,ASXL2,HIST2H3D,FIBP,SPDL1
,SDHAF2,RRP1,LUM,EPB41L1
,RNF103,TAL1,CYP2R1,CPNE1
,PPM1B,BRIX1,POLG2,TVP23B
,NR6A1,NDUFB11,VPS25,RPSA
,NLRP4,NAPA,MTCH2,CSRNP1
,TNFRSF13C,SLC38A9,CHD2,LRPAP1
,GGCT,NT5C3B,TBP,KANK2
,ADIPOR1,SNX32,SNRNP200,CCT4
,BCL10,RPL39,TMEM177,RPL7
,CNTF,PIGH,MTX2,REEP5
,ST6GALNAC1,GPI,TNIP2,BCL7C
,KRTAP5-3,AP4B1,PPP1CA,CD164
,SPTBN5,SOD1,USP35,RPS15
,RTP4,43891,API5,WT1
,AVPR1A,KARS,KDM3B,PTEN
,CD101,TTF2,TNPO3,NMT2
,SERPINI2,SERBP1,AAAS,NMRK1
,OVGP1,AP3B2,FAM8A1,HBEGF
,ZZZ3,CLPX,RHBG,B3GNT9
,ZNF449,ACTL8,NMT1,RPL12
,GDE1,FANCM,DCLRE1A,ARL8B
,POLD3,G2E3,METTL6,TRAF3
,NAGK,CHAF1A,ENSA,SLC35D1
,LSG1,CRYZL1,NF1,DDX60
,LRRC63,NOP56,TBC1D14,CORO1B
,MED13L,CTU1,SETD5,ABCD1
,SEC61B,WDR75,BLOC1S6,SBDS
,RAB40C,CD207,ATF1,PHLDB3
,LMBRD1,ASXL1,ELAVL1,CREG1
,ENG,UBR1,CPSF4L,POMP
,GMCL1,ZNF580,LTA4H,TMEM127
,SNRNP35,NCAPD2,OR13A1,DTX2
,SLC35A2,RPL27,SMNDC1,YIF1B
,FAM187A,SNX30,ORC2,CLK4
,IGFL1,INTS6,SRP54,GBA
,ZFP91,TCEAL4,SNX27,SNTB2
,IGSF22,NUDT1,LRRC47,AHCTF1
,TMEM189,RPS27L,NHLRC2,TK1
,TMEM89,NUP35,RFXANK,PRKAR2A
,MYO1G,COX5A,GLMN,SNX24
,ZNF367,GRWD1,CHCHD1,NBAS
,DOK7,SIRT6,SLC31A1,GMPPA
,KDR,KHSRP,ATG4B,KIAA1191
,PTMA,MIEF1,MRO,RPL14
,PTGIR,RPS23,TARS2,FRA10AC1
,TMEM230,NPL,PPP1CB,44081
,PRRC2B,CCT3,NDUFB4,CHD1
,EPN3,PPP2R5C,SYNCRIP,GABBR1
,TMED2,RAPGEF1,SMPD4,SCO1
,ANKDD1B,AIFM1,NUP160,BMS1
,LYG1,DUT,EIF5AL1,PSMD6
,FBXW2,RPLP0,ARCN1,ELF1
,TIMM10B,GPR179,TRMT2A,IRS1
,TMEM179B,ZBTB18,SLC11A2,YME1L1
,CWC22,MCM10,TSEN15,TM2D2
,DDI2,METTL3,VPS11,TCF7
,TRAF6,PRPF8,ANKRD39,SNX14
,CCDC121,UIMC1,RAPGEF3,CCNH
,SRP54,RPL26,LIPT1,EIF3C
,RELA,SRD5A3,TMEM182,DPCD
,COLEC10,FNTB,BNIP2,BOLA3
,MRPS6,NOLC1,SEC24A,ADAMTS6
,IRF3,CLK3,PSMA1,LEO1
,PDE7B,ZFP64,LSM3,SNF8
,CENPB,BUB1B,PIGF,CFLAR
,SLC9A6,USP31,CPSF6,SNAPC5
,MYH7B,EIF5A,SF1,MRPL19
,TSG101,IREB2,PSMB3,PXK
,ITGB3BP,GNL3,CHMP4A,MAN1B1
,KLK10,RPS8,FBXL19,COMMD8
,SP140,TNPO1,FTH1,WDR11
,RRNAD1,ZDHHC8,EHMT2,SLC25A20
,PATL1,UBA5,RBM17,NTAN1
,MSMB,RPS15A,GGA3,CLPX
,RALGAPA1,RASL10A,ACTL8,EHD1
,SYVN1,COQ3,MED28,TADA3
,ZBTB43,RPAP2,YWHAE,OSCAR
,KLRK1,AP1M1,TMEM253,ITPKA
,FKBP15,DHRS4,ZCWPW2,WDR55
,CDC26,STARD9,TYW5,PSMC5
,IL16,AHSA1,DHX15,DNPEP
,C5AR2,MIS18A,DDX23,IFFO1
,KRTAP5-4,EHD1,RAB5A,YES1
,MCEE,MRPS11,MCEE,RPL26
,GRAPL,ASMTL,DIP2A,ADCY3
,FAR1,ITSN1,PPP2R1B,UBE4B
,CARD16,EIF2B4,MTMR14,ETF1
,ACAD10,ORC1,SLC30A6,CFH
,TAZ,PODXL2,PSMC6,HCCS
,EPHX3,GAPDH,AGAP5,HMX1
,MT1M,NAP1L1,ASXL1,RARS
,UPK3A,RPS28,PRPF38A,RPL32
,TMEM258,U2AF1,UBE3D,GNAI2
,CCDC17,RLIM,ZDHHC5,SKI
,VCPIP1,EPS15L1,DDX27,RPL5
,RNF31,ZNF276,CDC6,ABCF2
,GPR55,PPT2,TMEM33,NOMO3
,SEC62,SAMM50,ADO,SCRN1
,GPR35,TMEM251,CYP3A5,SEMA7A
,TBC1D15,TRERF1,RAP1A,AP3S1
,PLA2G12B,RPL37A,PSMB1,MYOM1
,UNC50,TMLHE,SRSF6,CDC42EP2
,ASB1,MFAP1,ACBD6,RPL31
,MS4A7,PTRH2,HADHA,TAF13
,DYDC1,MYBL2,RRP8,SRFBP1
,SLC22A16,DHRS4L2,TIMM8B,RPL11
,SFTPA1,NCAPH,EIF4E,RNF25
,LYRM1,SMYD4,PPP1R7,PCYT1A
,CYP4F2,RRP9,COL3A1,ELFN1
,EGR4,MRPS23,DDX47,ZBTB47
,FUT6,RNF114,AHCYL1,RMDN1
,SIDT1,WDR4,SCAP,SLK
,RNF220,FKBP3,ELMSAN1,PDHB
,CCR7,CCDC124,NCAPH,KCTD18
,TBC1D2,CLASP2,PSMD4,NRG4
,ANKRD23,RECK,MAP3K4,SLC25A37
,STK31,DDX31,HNRNPU,IARS2
,BPIFA1,BCS1L,NUP98,ARL13B
,ZSCAN20,UBE2T,NSF,TSC22D4
,CIITA,WDR59,IWS1,IFRD2
,HECTD1,ARHGDIA,MCM9,RPF2
,WFIKKN1,ILF3,RPS6KB2,EDC4
,PRDM1,RIOK1,WRNIP1,SRRM2
,RSRC2,HERC1,PGD,HS3ST3A1
,EIF2AK1,PDRG1,HNRNPD,GIPC1
,CARNS1,DDX20,ZNF330,CAPZA1
,RHBDL2,VPREB3,COLQ,MRPL32
,PLA2G10,SPAG9,FCN3,STX11
,CHD8,TCF3,LBR,BATF3
,GTF2B,STXBP5L,FNBP4,FAF2
,ITLN2,PA2G4,ARFGAP2,PRKAA1
,ADCY4,RSRC1,EHBP1,ARNT
,FXYD4,ZNF609,TCP1,TXNDC5
,SLC29A3,DLST,HELQ,BCL10
,PAGE4,POU6F1,DHX36,EXOSC10
,RNF133,SLC25A17,RP9,NR2F6
,SLC30A5,DCTN2,SNRPD3,FPGT
,RHEB,SNRNP70,NUP107,CDC42SE1
,TTC22,CDK17,SMIM13,UTP20
,ABCA13,PSMC4,GPATCH8,TMCO6
,COL9A1,DENND3,PTGES3,RNPEP
,LAMTOR5,HUWE1,RGS6,NEK10
,GPR152,UBL7,ZW10,ATR
,PATE2,DBN1,TRMT13,WDR43
,CASP1,MED15,PNISR,PFDN1
,ALLC,PNN,SFPQ,RRP12
,FLT1,U2SURP,CEBPZ,TACC1
,MRPL49,CCIN,LSM12,HSPA9
,ZCWPW2,ELAC2,SLC9A8,BTN2A1
,RAX,NF2,CS,INO80B
,ITLN1,FCF1,CUL3,TST
,F2RL3,COX4I1,TNN,LSM10
,RAD54L,NCKAP5L,PRKAA1,UPF2
,F5,LONP1,RAN,ARMC4
,LGALS9C,GLUD1,CLP1,MFAP5
,TEKT3,WNT10A,SRRM1,ENO1
,PIWIL1,ZNF462,ZNF394,USP19
,TLR1,WDR83,FAM91A1,C1QTNF6
,RIMBP3C,RPS6KA5,GMCL1,TBL3
,FAM181A,MCTS1,OCIAD1,MND1
,CST4,OTUD5,AFP,TRIP12
,FER1L6,COX10,NELFA,RPS24
,OMP,TNFRSF13C,IL1R2,TPK1
,SORCS1,ACTR3B,DIP2B,VPS26A
,CRISP2,PEX5,RC3H1,UAP1
,GPR148,OLA1,UBL4A,PLK4
,CNGB3,ISCA2,HNRNPM,PDXK
,SPACA4,CSE1L,SRRD,ADAP2
,HSD17B3,MAX,ZNF507,HDAC10
,INMT,VIPAS39,CLTC,RHOQ
,PCK1,PHF5A,LARP4,STAT1
,ASIC2,ERCC1,AAMP,GTPBP4
,GUCA1A,SEMA7A,MARK2,SLC35E4
,TEX12,LIN7B,ZNF638,ACHE
,LGALS9B,FAM156B,NIF3L1,ARPC4
,PKP1,GMFB,EIF2S1,NOP2
,NXPE2,UBE2G1,ABCD3,FBXO4
,IBSP,UROD,CTBP2,XRCC4
,SLC11A1,TRMT5,SNRNP27,CAPNS1
,GAL3ST2,PTPN4,ALKBH2,DFFA
,IL24,GAS1,MTPAP,ATXN1L
,ACSM1,CSNK2A3,ARID1A,PI3
,RNASE10,PRMT6,LAMTOR4,RTCA
,GP5,TCERG1,REEP4,MTX1
,HP,YLPM1,USP42,CHPF2
,HCRT,PHTF1,REN,GPN1
,KLK15,POLR2E,STAMBP,CD276
,PLA2G4E,GPR132,AMMECR1L,APEH
,SMIM6,PITPNB,STAU1,B4GALNT1
,P2RY14,SNRPD3,SSRP1,TNPO1
